Date,Adj Close
2018/9/10,1939.01001
2018/9/11,1987.150024
2018/9/12,1990
2018/9/13,1989.869995
2018/9/14,1970.189941
2018/9/17,1908.030029
2018/9/18,1941.050049
2018/9/19,1926.420044
2018/9/20,1944.300049
2018/9/21,1915.01001
2018/9/24,1934.359985
2018/9/25,1974.550049
2018/9/26,1974.849976
2018/9/27,2012.97998
2018/9/28,2003
2018/10/1,2004.359985
2018/10/2,1971.310059
2018/10/3,1952.76001
2018/10/4,1909.420044
2018/10/5,1889.650024
2018/10/8,1864.420044
2018/10/9,1870.319946
2018/10/10,1755.25
2018/10/11,1719.359985
2018/10/12,1788.609985
2018/10/15,1760.949951
2018/10/16,1819.959961
2018/10/17,1831.72998
2018/10/18,1770.719971
2018/10/19,1764.030029
2018/10/22,1789.300049
2018/10/23,1768.699951
2018/10/24,1664.199951
2018/10/25,1782.170044
2018/10/26,1642.810059
2018/10/29,1538.880005
2018/10/30,1530.420044
2018/10/31,1598.01001
2018/11/1,1665.530029
2018/11/2,1665.530029
2018/11/5,1627.800049
2018/11/6,1642.810059
2018/11/7,1755.48999
2018/11/8,1754.910034
2018/11/9,1712.430054
2018/11/12,1636.849976
2018/11/13,1631.170044
2018/11/14,1599.01001
2018/11/15,1619.439941
2018/11/16,1593.410034
2018/11/19,1512.290039
2018/11/20,1495.459961
2018/11/21,1516.72998
2018/11/23,1502.060059
2018/11/26,1581.329956
2018/11/27,1581.420044
2018/11/28,1677.75
2018/11/29,1673.569946
2018/11/30,1690.170044
2018/12/3,1772.359985
2018/12/4,1668.400024
2018/12/6,1699.189941
2018/12/7,1629.130005
2018/12/10,1641.030029
2018/12/11,1643.23999
2018/12/12,1663.540039
2018/12/13,1658.380005
2018/12/14,1591.910034
2018/12/17,1520.910034
2018/12/18,1551.47998
2018/12/19,1495.079956
2018/12/20,1460.829956
2018/12/21,1377.449951
2018/12/24,1343.959961
2018/12/26,1470.900024
2018/12/27,1461.640015
2018/12/28,1478.02002
2018/12/31,1501.969971
